names,good_topic1,good_topic2,good_topic3,good_topic4,good_topic5,good_topic6,bad_topic1,bad_topic2,bad_topic3,bad_topic4,bad_topic5,bad_topic6,main_good_topic,main_bad_topic,business_id
This N That Eats,0.318013828,0.145722722,0.197330998,0.011720531,0.245021146,0.071577616,0.007882661,0.448619905,0.317464685,0.109959179,0,0.110423572,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",gJ8TxCgAWTz5_MLgsi0D2A
Thistle Cafe,0.204055484,0.163343173,0.075162037,0.034048387,0.462765372,0.053590533,0.003374551,0.481265273,0.286002416,0.108400935,0.008233586,0.106190908,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",34WzJoRoWJkja82adQzijA
Three B's Tacos,0.152824759,0,0,0,0.830846667,0,0,0.522092193,0.370916352,0,0,0.089575984,good_topic5,"bad_topic2,bad_topic3",vJehBCfKb4T9w71ytLH_Ug
Three Dollar Cafe,0.035093228,0.022141038,0.125718542,0.268568453,0.239258626,0.297721919,0.019943686,0.520470375,0.245021348,0.104048992,0.003180111,0.101588418,good_topic6,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",zQgthZgqnuOAOjSxTqGoCw
Three Nenas Bakery & Deli,0.368433543,0.119910073,0.173519138,0,0.288886005,0.03873294,0,0.842049996,0,0.052861487,0,0.081203133,good_topic1,bad_topic2,pxpKFgGSUQZRMZLnBJ3bNA
Three Sheets,0.017601471,0.029857965,0.12478893,0.101069704,0.120630111,0.593966453,0,0.503743033,0.347308377,0.056630336,0,0.083161705,good_topic6,"bad_topic2,bad_topic3",S5GHG8B6S8iFL_a2WY4o2g
Three Square Grill,0.205636736,0.063494096,0.13180336,0.063903849,0.283757688,0.244262828,0,0.501448339,0.276052541,0.065223294,0.032050116,0.121483395,good_topic5,"bad_topic2,bad_topic3,bad_topic6",ZulGc5FecZJMa-K6raI9Ug
Thu Hien Deli & Sandwich Shop,0.878267705,0,0.089976938,0,0.022997722,0,0,0.380893171,0.491458237,0.120350212,0,0,good_topic1,"bad_topic2,bad_topic3,bad_topic4",86_blHBYdX2t_unzZaBQNw
ThunderCloud Subs,0.113303487,0.089103036,0.576084775,0.030790216,0.147616451,0.032979083,0.026740616,0.542120663,0.198825152,0.129980553,0.022121573,0.073797939,good_topic3,"bad_topic2,bad_topic3,bad_topic4",fIoyKMf50uNa1xdwTIklGQ
Thunderbird Burgers,0,0,0.518680692,0.474694312,0,0,0.04303981,0.63244766,0.225085445,0.03569353,0,0.05595506,good_topic3,"bad_topic2,bad_topic3",tMoWs0gFUwzinU7UNpdmYg
Thunderbird Cafe & Tap Room,0.032937074,0.321749399,0.355892959,0.001265216,0.029084423,0.249598588,0.007082479,0.505573412,0.329670455,0.084738397,0.00360156,0.061642039,good_topic3,"bad_topic2,bad_topic3",uLihBq095KIQC92PsNlqoA
Thundercloud Subs,0.171229977,0.085620726,0.578913742,0.014785228,0.115699861,0.023350017,0.030652714,0.534638733,0.20052184,0.119730726,0.020868068,0.085878698,good_topic3,"bad_topic2,bad_topic3,bad_topic4",v_l_wqq3YHWtwCjUgLpoAQ
